date,Rank,Title,Artist,Production
2023-01-08,76,"나침반 (Feat. UNEDUCATED KID, 수퍼비 (SUPERBEE)) (Prod. R.Tee)",KHAN,Stone Music Entertainment
2023-01-08,77,이 소설의 끝을 다시 써보려 해,테이 (Tei),메모리즈 프로젝트
2023-01-08,78,드라마,아이유 (IU),EDAM엔터테인먼트
2023-01-08,79,SNEAKERS,ITZY (있지),JYP Entertainment
2023-01-08,80,봄날,방탄소년단,BIGHIT MUSIC
2023-01-08,81,Off My Face,Justin Bieber,RBMG/Def Jam
2023-01-08,82,Butter,방탄소년단,BIGHIT MUSIC
2023-01-08,83,Feel My Rhythm,레드벨벳(Red Velvet),SM Entertainment
2023-01-08,84,strawberry moon,아이유 (IU),EDAM엔터테인먼트
2023-01-08,85,신호등,이무진,쇼플레이
2023-01-08,86,흩어지지 않게,엠씨더맥스 (M.C the MAX),325 이엔씨
2023-01-08,87,무지개,임영웅,물고기뮤직
2023-01-08,88,London Boy,임영웅,물고기뮤직
2023-01-08,89,스티커 사진,21학번,제나두 엔터테인먼트
2023-01-08,90,Dangerously,Charlie Puth,Artist Partners
2023-01-08,91,"WITCH (Feat. 박재범, So!YoON!) (Prod. by Slom)",이영지,Stone Music Entertainment
2023-01-08,92,INVU,태연 (TAEYEON),SM Entertainment
2023-01-08,93,아버지,임영웅,물고기뮤직
2023-01-08,94,Graduation,NCT DREAM,SM Entertainment
2023-01-08,95,Next Level,aespa,SM Entertainment
2023-01-08,96,눈의 꽃 (雪の華),마크툽 (Maktub),MAKTUB Company
2023-01-08,97,Polaroid,임영웅,물고기뮤직
2023-01-08,98,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),YG Entertainment
2023-01-08,99,Permission to Dance,방탄소년단,BIGHIT MUSIC
2023-01-08,100,POP!,나연 (TWICE),JYP Entertainment
2023-01-08,101,내 손을 잡아,아이유 (IU),더그루브엔터테인먼트
2023-01-08,102,사랑한다고 말해줘,탑현,탑현월드
2023-01-08,103,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,Stone Music Entertainment
