date,Rank,Title,Artist,Production,Weekly Views,Genre,Runtime
2023-09-24,198,LOVE me,BE`O (비오),"BPM ENTERTAINMENT, SWING ENTERTAINMENT, 페임어스엔터테인먼트",1472656.0,가요 / 랩/힙합,02:53
2023-09-24,199,Square (2017),백예린,블루바이닐,3104738.0,가요 / 전체,04:22
2023-09-24,200,INVU,태연 (TAEYEON),SM Entertainment,3339484.0,가요 / 댄스,03:25
2023-10-01,1,Love Lee,AKMU (악뮤),YG Entertainment,11053352.0,가요 / 댄스,03:00
2023-10-01,2,Fact Check (불가사의; 不可思議),NCT 127,SM Entertainment,1492492.0,가요 / 댄스,03:05
2023-10-01,3,후라이의 꿈,AKMU (악뮤),YG Entertainment,11053352.0,가요 / 블루스/포크,03:25
2023-10-01,4,"Smoke (Prod. Dynamicduo, Padi)","다이나믹 듀오 (Dynamic Duo), 이영지",Stone Music Entertainment,3776413.0,가요 / 랩/힙합,03:30
2023-10-01,5,Seven (feat. Latto) - Clean Ver.,정국,BIGHIT MUSIC,7296860.0,가요 / 댄스,03:04
2023-10-01,6,Super Shy,NewJeans,ADOR,10594372.0,가요 / 댄스,02:35
2023-10-01,7,ETA,NewJeans,ADOR,10594372.0,가요 / 댄스,02:31
2023-10-01,8,3D (feat. Jack Harlow),정국,BIGHIT MUSIC,7296860.0,가요 / 댄스,03:22
2023-10-01,9,Fast Forward,전소미,The Black Label,2427247.0,가요 / 댄스,02:41
2023-10-01,10,헤어지자 말해요,박재정,로맨틱팩토리,1796894.0,가요 / 발라드,04:04
2023-10-01,11,I Love My Body,화사(Hwa Sa),피네이션,1560865.0,가요 / 댄스,02:30
2023-10-01,12,사막에서 꽃을 피우듯,우디(Woody),메이저나인,1675680.0,가요 / 발라드,04:19
2023-10-01,13,I AM,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / 댄스,03:04
2023-10-01,14,Either Way,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / R&B/소울,02:47
2023-10-01,15,Bubble,STAYC(스테이씨),하이업엔터테인먼트,2937867.0,가요 / 댄스,02:59
2023-10-01,16,퀸카 (Queencard),(여자)아이들,큐브엔터테인먼트,3644521.0,가요 / 댄스,02:41
2023-10-01,17,Hype boy,NewJeans,ADOR,10594372.0,가요 / 댄스,02:57
2023-10-01,18,Get A Guitar,RIIZE,SM Entertainment,1664995.0,가요 / 댄스,02:40
2023-10-01,19,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),쏘스뮤직,4335304.0,가요 / 댄스,03:06
2023-10-01,20,Steal The Show (From “엘리멘탈”),Lauv,Walt Disney Records,3139154.0,OST / 전체,03:13
2023-10-01,21,Spicy,aespa,SM Entertainment,4592750.0,가요 / 댄스,03:17
2023-10-01,22,Ditto,NewJeans,ADOR,10594372.0,가요 / 댄스,03:06
2023-10-01,23,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,TOON STUDIO,1636248.0,가요 / 발라드,04:18
2023-10-01,24,Kitsch,IVE (아이브),스타쉽엔터테인먼트,9619194.0,가요 / 댄스,03:15
2023-10-01,25,New Jeans,NewJeans,ADOR,10594372.0,가요 / 댄스,01:49
2023-10-01,26,사건의 지평선,윤하,C9엔터테인먼트,3931666.0,가요 / 락,05:01
